#disease	phenotype	onset	frequency	severity
MONDO:0007078	HP:0000939			
MONDO:0007078	HP:0001156		HP:0040282	
MONDO:0007078	HP:0001249		HP:0040282	
MONDO:0007078	HP:0001250			
MONDO:0007078	HP:0001513		HP:0040282	
MONDO:0007078	HP:0001831			
MONDO:0007078	HP:0002135		HP:0040282	
MONDO:0007078	HP:0002684		HP:0040282	
MONDO:0007078	HP:0002905		HP:0040281	
MONDO:0007078	HP:0003165		HP:0040281	
MONDO:0007078	HP:0003456		HP:0040281	
MONDO:0007078	HP:0003472		HP:0040283	
MONDO:0007078	HP:0003812			
MONDO:0007078	HP:0004322		HP:0040281	
MONDO:0007078	HP:0005280		HP:0040282	
MONDO:0007078	HP:0006297		HP:0040282	
MONDO:0007078	HP:0006960		HP:0040282	
MONDO:0007078	HP:0009381			
MONDO:0007078	HP:0010049			
MONDO:0007078	HP:0010743			
MONDO:0007078	HP:0100543			
MONDO:0007079	HP:0000707			
MONDO:0007079	HP:0030955			
MONDO:0007080	HP:0000006			
MONDO:0007080	HP:0000079			
MONDO:0007080	HP:0000822		HP:0040280	
